GEOID,unit,mean_ndvi
00766,ua,0.5415254266961482
00766,uau,0.5544987243016324
00970,ua,0.5135799335236934
00970,uau,0.5230313005190013
01495,ua,0.5432785539653953
01495,uau,0.5441412419800268
01792,ua,0.5155388200843242
01792,uau,0.5315588978830093
01927,ua,0.2992405192199066
01927,uau,0.30268720216505657
03358,ua,0.6244350806617435
03358,uau,0.6275066327984394
03817,ua,0.5969164727345104
03817,uau,0.5983365741577522
03898,ua,0.5175515102346486
03898,uau,0.5286044961030152
04222,ua,0.5873643828893682
04222,uau,0.5903609770526744
04384,ua,0.47977473559363626
04384,uau,0.4816033708402473
04843,ua,0.5337768620137785
04843,uau,0.5420856073927925
05707,ua,0.49456540255810816
05707,uau,0.5035778821206427
05869,ua,0.42894737763511237
05869,uau,0.4350060626020868
06058,ua,0.5484089899419806
06058,uau,0.5530541171684862
07732,ua,0.502378151130984
07732,uau,0.5132241607236262
07786,ua,0.6033965438687077
07786,uau,0.6123233412596681
09271,ua,0.5828584019571611
09271,uau,0.5935858257839166
10162,ua,0.6088579861890799
10162,uau,0.6120049756922132
11350,ua,0.452002123595412
11350,uau,0.46234631453165465
13375,ua,0.5312504202783006
13375,uau,0.5380928137174543
15481,ua,0.5543768311487131
15481,uau,0.5610642922470294
15670,ua,0.5773043528572839
15670,uau,0.5792485858343602
15832,ua,0.5938987834764584
15832,uau,0.5998783876173208
16264,ua,0.4263620974526513
16264,uau,0.4378772271345775
16885,ua,0.5443741798858668
16885,uau,0.5464729778731648
17668,ua,0.49085154501916073
17668,uau,0.5036531193458729
18964,ua,0.5772139077320908
18964,uau,0.5787112992525792
19099,ua,0.5842920008152601
19099,uau,0.5888516786573852
19234,ua,0.48277936507428115
19234,uau,0.4873840669203253
22042,ua,0.39736747269276607
22042,uau,0.39768159804163483
22366,ua,0.4230442897112953
22366,uau,0.4228509883037848
22528,ua,0.5130749824305824
22528,uau,0.5169289695997645
22717,ua,0.4835337105192934
22717,uau,0.489777325611192
23527,ua,0.3055618036063023
23527,uau,0.3061258662582349
23743,ua,0.4213930463920933
23743,uau,0.4233808729465827
23824,ua,0.44130430720737057
23824,uau,0.4510324121683864
24823,ua,0.44079864621996934
24823,uau,0.44821742231054496
24850,ua,0.3403002019909641
24850,uau,0.33334178026337685
25228,ua,0.6200401452199618
25228,uau,0.6237785443751755
27118,ua,0.5061427355983246
27118,uau,0.5144534172289721
27253,ua,0.16651300073695496
27253,uau,0.16804745812434937
27766,ua,0.47233590292637745
27766,uau,0.49087671803908867
28333,ua,0.5117141852148479
28333,uau,0.5236282431521704
29872,ua,0.48998901789500254
29872,uau,0.495461395570092
31087,ua,0.47629888212294974
31087,uau,0.4799946681146374
31843,ua,0.31920585811932145
31843,uau,0.3217846978270686
32491,ua,0.30183672539928524
32491,uau,0.2940318969245013
34300,ua,0.4568782753752816
34300,uau,0.46642758534583234
35164,ua,0.5767666282324443
35164,uau,0.5813937820384959
37081,ua,0.5342345989444954
37081,uau,0.5381786187163357
37243,ua,0.5854888102353677
37243,uau,0.5917958891901998
40429,ua,0.4651666376102619
40429,uau,0.4667978592529535
40753,ua,0.537907823887366
40753,uau,0.5416071347710449
41212,ua,0.48601382493762396
41212,uau,0.4915160729063464
42157,ua,0.4959097459067307
42157,uau,0.5113745402501749
42211,ua,0.5949268604715927
42211,uau,0.5987540174772222
42346,ua,0.5307544679198756
42346,uau,0.5325754864771979
43291,ua,0.5311115373726468
43291,uau,0.5396002050445069
43723,ua,0.47841701439597806
43723,uau,0.4792659908052331
43912,ua,0.47870861000206183
43912,uau,0.48223747439072717
44506,ua,0.4166758950224139
44506,uau,0.4237153968401466
45640,ua,0.6025173671011506
45640,uau,0.6067566438228721
47530,ua,0.5720776021079419
47530,uau,0.5732527148702682
47719,ua,0.46758424367572454
47719,uau,0.4764504810831754
49582,ua,0.5197131725932401
49582,uau,0.5256205415454064
49852,ua,0.47638568730154845
49852,uau,0.477148291553011
49933,ua,0.40049067140438055
49933,uau,0.4000027421383178
50392,ua,0.5487501587580196
50392,uau,0.5530429999159737
51364,ua,0.49201471940211916
51364,uau,0.49476720204100266
51445,ua,0.29282390312462575
51445,uau,0.29616322417082086
51755,ua,0.5326675495244
51755,uau,0.5389458114530217
52201,ua,0.6154023730195249
52201,uau,0.6182579638152192
52822,ua,0.6092188079622992
52822,uau,0.6154031805098641
53200,ua,0.41611897244721124
53200,uau,0.41731923692988454
53740,ua,0.5456112619828122
53740,uau,0.5612528103076342
56116,ua,0.5119348777077524
56116,uau,0.5186641828179874
