GEOID,area,mean_ndvi
592.7167621287658,msa,0.590694426446702
592.7167621287658,msau,0.5984085604572739
766,ua,0.5415254266961482
766,uau,0.5544987243016324
881.7964927186817,msa,0.44369271731130633
881.7964927186817,msau,0.4463775299015167
937.1409615428668,msa,0.5793412529670677
937.1409615428668,msau,0.5802935266635904
970,ua,0.5135799335236934
970,uau,0.5230313005190013
1025.2763482863188,msa,0.4546116775252261
1025.2763482863188,msau,0.45484982151225356
1042.9198039833022,msa,0.4894610786074638
1042.9198039833022,msau,0.48995134251347133
1054.1022103468729,msa,0.45276628654101836
1054.1022103468729,msau,0.4523309132762722
1063.9453987065797,msa,0.5828474707421949
1063.9453987065797,msau,0.5851474700065175
1170.003492896072,msa,0.4250163939899413
1170.003492896072,msau,0.42543938655509483
1364.9834891317687,msa,0.5933246300565579
1364.9834891317687,msau,0.5953787830226214
1365.9432881493833,msa,0.5256352163610734
1365.9432881493833,msau,0.5279281303757352
1461.8294865110374,msa,0.46490623244557244
1461.8294865110374,msau,0.4649062247096241
1495,ua,0.5432785539653953
1495,uau,0.5441412419800268
1498.2749775415634,msa,0.325073462301449
1498.2749775415634,msau,0.3247487334533103
1502.884731180989,msa,0.49779600418422004
1502.884731180989,msau,0.4982463371408875
1517.080369945244,msa,0.45056642888833515
1517.080369945244,msau,0.4506835924848295
1579.7615399643053,msa,0.5826294169362374
1579.7615399643053,msau,0.5862875591454204
1595.4532747636797,msa,0.6431474875656409
1595.4532747636797,msau,0.6441781664640378
1596.7497877649994,msa,0.44962690566534613
1596.7497877649994,msau,0.450093781134638
1607.7055184200235,msa,0.6016961372481041
1607.7055184200235,msau,0.6082759409782859
1682.4303032706557,msa,0.5027953636996164
1682.4303032706557,msau,0.5052290115701448
1693.4280160905455,msa,0.6181978312552088
1693.4280160905455,msau,0.620707517486661
1792,ua,0.5155388200843242
1792,uau,0.5315588978830093
1796.114889669372,msa,0.5829782064300424
1796.114889669372,msau,0.5838439313456144
1860.6333800092036,msa,0.4894368166742232
1860.6333800092036,msau,0.4899153485704796
1873.792263552201,msa,0.5080389946017381
1873.792263552201,msau,0.5092658429726336
1927,ua,0.2992405192199066
1927,uau,0.30268720216505657
2075.278652475969,msa,0.43786631975622703
2075.278652475969,msau,0.4382531912041169
2097.119160272952,msa,0.5366084850025098
2097.119160272952,msau,0.5396542223544338
2113.500648212603,msa,0.4513520738547518
2113.500648212603,msau,0.4516481539163536
2311.041503113797,msa,0.6404571988695753
2311.041503113797,msau,0.6429508274309085
2358.5116701509505,msa,0.592658369130375
2358.5116701509505,msau,0.5937100267860399
2393.6022030207,msa,0.5608840646088953
2393.6022030207,msau,0.5662747010892569
2446.2002321894392,msa,0.6496304611785338
2446.2002321894392,msau,0.6498662353074458
2472.9790155201263,msa,0.6277040248796627
2472.9790155201263,msau,0.6277584387397038
2492.5033856162713,msa,0.6173381228345471
2492.5033856162713,msau,0.6181430276862326
2511.4352313476757,msa,0.48819033369914994
2511.4352313476757,msau,0.48947955355740413
2537.030364194453,msa,0.5797669423804181
2537.030364194453,msau,0.5814280321707249
2547.9592724850304,msa,0.5834626835052071
2547.9592724850304,msau,0.5837983277062947
2584.57890054766,msa,0.4637272680604982
2584.57890054766,msau,0.46415413111616183
3064.9367731743723,msa,0.4824193386489661
3064.9367731743723,msau,0.4824208394527083
3088.4839429024255,msa,0.46874669536430463
3088.4839429024255,msau,0.46904713159523453
3206.674346619156,msa,0.5771060765989183
3206.674346619156,msau,0.578460137001521
3341.99981715737,msa,0.49165887425218874
3341.99981715737,msau,0.49215318848584994
3358,ua,0.6244350806617435
3358,uau,0.6275066327984394
3683.751785489779,msa,0.4245645421407836
3683.751785489779,msau,0.42490186423821724
